coverage,depth,frequency_0,frequency_1,height,hf driver,lf driver,max spl,wattage,weight,width
74.63855421686748,14.2,40.0,20000.0,24.1,0.0,12.0,126.0,2000.0,35.0,14.2
74.63855421686748,15.0,40.0,20000.0,27.1,0.0,15.0,127.0,2000.0,41.0,16.5
75.0,13.8,50.0,20000.0,23.7,1.4,12.0,132.0,2000.0,47.8,14.0
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.4,15.0,127.2,2000.0,44.40735632183907,14.858395061728391
75.0,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.0,8.0,127.2,300.0,44.40735632183907,14.858395061728391
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.4,12.0,127.2,2000.0,44.40735632183907,14.858395061728391
75.0,14.0,65.0,18000.0,24.0,1.5,12.0,126.0,1000.0,34.0,14.0
75.0,15.118625000000002,42.0,20000.0,25.28666666666667,1.5,15.0,127.0,1000.0,44.40735632183907,14.858395061728391
90.0,11.8,56.0,20000.0,20.4,1.4,10.0,130.0,2000.0,32.0,12.6
75.0,16.9,40.0,180.0,27.0,1.0,15.0,134.0,1500.0,53.8,17.0
105.0,10.6,59.0,20000.0,17.7,1.4,8.0,128.0,2000.0,27.0,11.0
90.0,10.1,56.0,20000.0,16.2,1.4,8.0,124.0,1000.0,21.0,10.7
75.0,12.7,49.0,20000.0,20.3,1.4,12.0,126.0,1000.0,30.3,13.8
75.0,14.0,55.0,20000.0,23.9,1.0,12.0,132.0,1500.0,38.4,14.75
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.4,10.0,127.2,2000.0,44.40735632183907,14.858395061728391
75.0,17.6,48.0,20000.0,27.2,1.25,15.0,135.0,1000.0,69.5,17.0
75.0,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.0,10.0,127.2,300.0,44.40735632183907,14.858395061728391
74.63855421686748,17.5,43.0,20000.0,28.2,2.8,15.0,130.0,1263.0526315789473,75.0,16.5
75.0,15.0,55.0,18000.0,27.0,1.5,15.0,127.0,1000.0,38.0,17.0
